Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.),ArtMovement
"Rope and People, I",Joan Miró,4016,"(Spanish, 1893–1983)",(Spanish),(1893),(1983),(male),"Barcelona, March 27, 1935","Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)",Gift of the Pierre Matisse Gallery,71.1936,Painting,Painting & Sculpture,1936-10-16,Y,33621,https://www.moma.org/collection/works/33621,https://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea1e5604fed56470,,,,,104.8,,,74.6,,,surrealism
Fire in the Evening,Paul Klee,3130,"(German, born Switzerland. 1879–1940)",(German),(1879),(1940),(male),1929,Oil on cardboard,"13 3/8 x 13 1/4"" (33.8 x 33.3 cm)",Mr. and Mrs. Joachim Jean Aberbach Fund,153.1970,Painting,Painting & Sculpture,1970-04-08,Y,34854,https://www.moma.org/collection/works/34854,https://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=77b1ea76b2522ccf,,,,,33.8,,,33.3,,,surrealism
Portrait of an Equilibrist,Paul Klee,3130,"(German, born Switzerland. 1879–1940)",(German),(1879),(1940),(male),1927,Oil and collage on cardboard over wood with painted plaster border,"24 7/8 x 15 3/4"" (63.2 x 40 cm)",Mrs. Simon Guggenheim Fund,195.1966,Painting,Painting & Sculpture,1966-04-12,Y,35209,https://www.moma.org/collection/works/35209,https://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3fb4d8c53ba82b6d,,,,,60.3,,,36.8,,,surrealism
Guitar,Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(male),"Paris, early 1919","Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)",Gift of A. Conger Goodyear,384.1955,Painting,Painting & Sculpture,1955-12-28,Y,36613,https://www.moma.org/collection/works/36613,https://www.moma.org/media/W1siZiIsIjUxNjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d798f8110591108a,,,,,215.9,,,78.7,,,surrealism
"Composition in White, Black, and Red",Piet Mondrian,4057,"(Dutch, 1872–1944)",(Dutch),(1872),(1944),(male),Paris 1936,Oil on canvas,"40 1/4 x 41"" (102.2 x 104.1 cm)",Gift of the Advisory Committee,2.1937,Painting,Painting & Sculpture,1937-01-15,Y,78310,https://www.moma.org/collection/works/78310,https://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5be41d1b44a043ed,"""MoMA, Floor 5, 512""",,,,102.2,,,104.1,,,Symbolism
Girl before a Mirror,Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(male),"Paris, March 14, 1932",Oil on canvas,"64 x 51 1/4"" (162.3 x 130.2 cm)",Gift of Mrs. Simon Guggenheim,2.1938,Painting,Painting & Sculpture,1937-12-17,Y,78311,https://www.moma.org/collection/works/78311,https://www.moma.org/media/W1siZiIsIjIwMzk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ce18fbf31c41a4f0,"""MoMA, Floor 5, 517""",,,,162.3,,,130.2,,,surrealism
Woman with a Mandolin,Georges Braque,744,"(French, 1882–1963)",(French),(1882),(1963),(male),1937,Oil on canvas,"51 1/4 x 38 1/4"" (130.2 x 97.2 cm)",Mrs. Simon Guggenheim Fund,2.1948,Painting,Painting & Sculpture,1948-03-17,Y,78315,https://www.moma.org/collection/works/78315,https://www.moma.org/media/W1siZiIsIjE1MTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a642e720365b40d2,,,,,130.2,,,97.2,,,Cubism
L'Estaque,André Derain,1500,"(French, 1880–1954)",(French),(1880),(1954),(male),1906,Oil on canvas,"13 7/8 x 17 3/4"" (35.3 x 45.1 cm)",Acquired through the Lillie P. Bliss Bequest (by exchange),6.1951,Painting,Painting & Sculpture,1951-01-30,Y,78371,https://www.moma.org/collection/works/78371,https://www.moma.org/media/W1siZiIsIjQ2ODczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b68a02c7f735a03,,,,,35.3,,,45.1,,,Cubism
Shimmering Substance,Jackson Pollock,4675,"(American, 1912–1956)",(American),(1912),(1956),(male),1946,Oil on canvas,"30 1/8 x 24 1/4"" (76.3 x 61.6 cm)",Mr. and Mrs. Albert Lewin and Mrs. Sam A. Lewisohn Funds,6.1968,Painting,Painting & Sculpture,1968-01-10,Y,78376,https://www.moma.org/collection/works/78376,https://www.moma.org/media/W1siZiIsIjIwMzUzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3c10521163c207f7,,,,,76.3,,,61.6,,,abstract expressionism
Still Life,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(male),"Paris, early 1899",Oil on canvas,"18 1/8 x 15"" (46 x 38.1 cm)",Gift of A. Conger Goodyear,7.1949,Painting,Painting & Sculpture,1949-02-03,Y,78380,https://www.moma.org/collection/works/78380,https://www.moma.org/media/W1siZiIsIjUxNzg3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8330fda2c284d489,,,,,46.0,,,38.1,,,impressionism
Painting,Philip Guston,2419,"(American, born Canada. 1913–1980)",(American),(1913),(1980),(male),1954,Oil on canvas,"63 1/4 x 60 1/8"" (160.6 x 152.7 cm)",Philip Johnson Fund,7.1956,Painting,Painting & Sculpture,1956-06-06,Y,78383,https://www.moma.org/collection/works/78383,https://www.moma.org/media/W1siZiIsIjE3NDQwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6beb6d17118161f9,,,,,160.6,,,152.7,,,abstract expressionism
"One: Number 31, 1950",Jackson Pollock,4675,"(American, 1912–1956)",(American),(1912),(1956),(male),1950,Oil and enamel paint on canvas,"8' 10"" x 17' 5 5/8"" (269.5 x 530.8 cm)",Sidney and Harriet Janis Collection Fund (by exchange),7.1968,Painting,Painting & Sculpture,1968-01-10,Y,78386,https://www.moma.org/collection/works/78386,https://www.moma.org/media/W1siZiIsIjQ3ODMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e1103091f54a82d,"""MoMA, Floor 4, 401""",,,,269.5,,,530.8,,,abstract expressionism
Soda,Georges Braque,744,"(French, 1882–1963)",(French),(1882),(1963),(male),"Paris, spring 1912",Oil on canvas,"14 1/4"" (36.2 cm) in diameter",Acquired through the Lillie P. Bliss Bequest (by exchange),8.1942,Painting,Painting & Sculpture,1942-01-27,Y,78387,https://www.moma.org/collection/works/78387,https://www.moma.org/media/W1siZiIsIjQwMDg1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6533e135a554f64d,,,,,36.2,,,,,,Cubism
The Red Studio,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(male),"Issy-les-Moulineaux, fall 1911",Oil on canvas,"71 1/4"" x 7' 2 1/4"" (181 x 219.1 cm)",Mrs. Simon Guggenheim Fund,8.1949,Painting,Painting & Sculpture,1949-02-03,Y,78389,https://www.moma.org/collection/works/78389,https://www.moma.org/media/W1siZiIsIjQ5OTUxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=256885141dcaaf8f,"""MoMA, Floor 5, 506""",,,,181.0,,,219.1,,,impressionism
